institution,period,euro,doi,publicationTitle,authorNames,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,issn_l,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj
Leipzig U,2020,1661.24,10.1186/s12859-019-3152-3,flowEMMi: an automated model-based clustering tool for microbial cytometric data,"Ludwig, Joachim;zu Siederdissen, Christian Höner;Liu, Zishu;Stadler, Peter F.;Müller, Susann",FALSE,Springer Nature,BMC Bioinformatics,1471-2105,,1471-2105,1471-2105,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31815609,PMC6902487,ut:000511608500001,http://link.springer.com/content/pdf/10.1186/s12859-019-3152-3.pdf,TRUE
Leipzig U,2020,2129.62,10.1093/nar/gkz737,"Novel ribozymes: discovery, catalytic mechanisms, and the quest to understand biological function","Weinberg, Christina E;Weinberg, Zasha;Hammann, Christian",FALSE,Oxford University Press (OUP),Nucleic Acids Research,0305-1048,0305-1048,1362-4962,0305-1048,http://creativecommons.org/licenses/cc-by-nc/4.0/,TRUE,31504786,PMC6765202,ut:000491241400012,http://academic.oup.com/nar/advance-article-pdf/doi/10.1093/nar/gkz737/29399775/gkz737.pdf,TRUE
Leipzig U,2020,1332.8,10.1002/ecs2.2704,Diversity‐dependent plant–soil feedbacks underlie long‐term plant diversity effects on primary productivity,"Guerrero‐Ramírez, Nathaly R.;Reich, Peter B.;Wagg, Cameron;Ciobanu, Marcel;Eisenhauer, Nico",FALSE,Wiley-Blackwell,Ecosphere,2150-8925,2150-8925,2150-8925,2150-8925,http://creativecommons.org/licenses/cc-by/3.0/,TRUE,NA,NA,ut:000472716600046,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fecs2.2704,TRUE
Leipzig U,2020,1864.5,10.1093/nar/gkz833,Improved annotation of protein-coding genes boundaries in metazoan mitochondrial genomes,"Donath, Alexander;Jühling, Frank;Al-Arab, Marwa;Bernhart, Stephan H;Reinhardt, Franziska;Stadler, Peter F;Middendorf, Martin;Bernt, Matthias",FALSE,Oxford University Press (OUP),Nucleic Acids Research,0305-1048,0305-1048,1362-4962,0305-1048,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31584075,PMC6847864,ut:000501735500016,http://academic.oup.com/nar/article-pdf/47/20/10543/30623580/gkz833.pdf,TRUE
Leipzig U,2020,2026.74,10.3389/fchem.2019.00753,"Quantitation of a Novel Engineered Anti-infective Host Defense Peptide, ARV-1502: Pharmacokinetic Study of Different Doses in Rats and Dogs","Brakel, Alexandra;Volke, Daniela;Kraus, Carl N.;Otvos, Laszlo;Hoffmann, Ralf",FALSE,Frontiers Media SA,Frontiers in Chemistry,2296-2646,,2296-2646,2296-2646,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31799234,PMC6863955,ut:000501243900001,https://www.frontiersin.org/article/10.3389/fchem.2019.00753/full,TRUE
Leipzig U,2020,1024.77,10.1525/collabra.220,"Prediction of Group Performance: The Interplay of Individual Performance, Interpersonal Attraction, and Interpersonal Behavior","Nikoleizig, Lucie;Nestler, Steffen;Krause, Sascha",FALSE,University of California Press,Collabra: Psychology,2474-7394,,2474-7394,2474-7394,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,NA,NA,ut:000493299000001,http://online.ucpress.edu/collabra/article-pdf/doi/10.1525/collabra.220/437609/220-3670-1-pb.pdf,TRUE
Leipzig U,2020,2100.11,10.1161/jaha.118.011662,Efficacy and Safety of Bempedoic Acid in Patients With Hypercholesterolemia and Statin Intolerance,"Laufs, Ulrich;Banach, Maciej;Mancini, G. B. John;Gaudet, Daniel;Bloedon, LeAnne T.;Sterling, Lulu Ren;Kelly, Stephanie;Stroes, Erik S. G.",FALSE,Wiley-Blackwell,Journal of the American Heart Association,2047-9980,,2047-9980,2047-9980,na,TRUE,30922146,PMC6509724,NA,https://www.ahajournals.org/doi/full/10.1161/JAHA.118.011662,TRUE
Leipzig U,2020,2201.08,10.3748/wjg.v25.i43.6430,Segmental intrahepatic cholestasis as a technical complication of the transjugular intrahepatic porto-systemic shunt,"Bucher, Julian Nikolaus;Hollenbach, Marcus;Strocka, Steffen;Gaebelein, Gereon;Moche, Michael;Kaiser, Thorsten;Bartels, Michael;Hoffmeister, Albrecht",FALSE,Baishideng Publishing Group Inc.,World Journal of Gastroenterology,1007-9327,1007-9327,,1007-9327,na,TRUE,31798279,PMC6881513,ut:000511422100005,https://www.wjgnet.com/1007-9327/full/v25/i43/6430.htm,FALSE
Leipzig U,2020,1950.15,10.3389/fpsyt.2020.565442,Depressive Symptomatology in Early Retirees Associated With Reason for Retirement—Results From the Population-Based LIFE-Adult-Study,"Zuelke, Andrea E.;Roehr, Susanne;Schroeter, Matthias L.;Witte, A. Veronica;Hinz, Andreas;Glaesmer, Heide;Engel, Christoph;Enzenbach, Cornelia;Zachariae, Silke;Zeynalova, Samira;Loeffler, Markus;Villringer, Arno;Riedel-Heller, Steffi G.",FALSE,Frontiers Media SA,Frontiers in Psychiatry,1664-0640,,1664-0640,1664-0640,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33192685,PMC7530286,ut:000576846100001,https://www.frontiersin.org/article/10.3389/fpsyt.2020.565442/full,TRUE
Leipzig U,2020,1868.3,10.1038/s41598-020-61558-2,Innovation in wild Barbary macaques (Macaca sylvanus),"Amici, Federica;Caicoya, Alvaro L.;Majolo, Bonaventura;Widdig, Anja",FALSE,Springer Nature,Scientific Reports,2045-2322,,2045-2322,2045-2322,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32165675,PMC7067846,ut:000520966500014,http://www.nature.com/articles/s41598-020-61558-2.pdf,TRUE
Leipzig U,2020,1369.34,10.3390/brainsci10030148,The Brain Differentially Prepares Inner and Overt Speech Production: Electrophysiological and Vascular Evidence,"Stephan, Franziska;Saalbach, Henrik;Rossi, Sonja",FALSE,MDPI AG,Brain Sciences,2076-3425,,2076-3425,2076-3425,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32143405,PMC7139369,ut:000524314600019,https://www.mdpi.com/2076-3425/10/3/148/pdf,TRUE
Leipzig U,2020,1450.94,10.3390/medicina56100489,Intra-Operative Detection of a Left-Sided Non-Recurrent Laryngeal Nerve during Vagus Nerve Stimulator Implantation,"Labuschagne, Jason John;Hammer, Niels",FALSE,MDPI AG,Medicina,1648-9144,,1648-9144,1010-660X,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32977517,PMC7598250,ut:000585332000001,https://www.mdpi.com/1648-9144/56/10/489/pdf,TRUE
Leipzig U,2020,2026.73,10.3389/fpsyt.2019.00898,Associations of Suicide Rates With Socioeconomic Status and Social Isolation: Findings From Longitudinal Register and Census Data,"Näher, Anatol-Fiete;Rummel-Kluge, Christine;Hegerl, Ulrich",FALSE,Frontiers Media SA,Frontiers in Psychiatry,1664-0640,,1664-0640,1664-0640,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31992995,PMC6971176,ut:000510230100001,https://www.frontiersin.org/article/10.3389/fpsyt.2019.00898/full,TRUE
Leipzig U,2020,1679.54,10.1371/journal.pone.0232362,Interpretation bias and contamination-based obsessive-compulsive symptoms influence emotional intensity related to disgust and fear,"Fink-Lamotte, Jakob;Widmann, Andreas;Fader, Judith;Exner, Cornelia",FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,,1932-6203,1932-6203,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32353055,PMC7192464,ut:000536673200084,https://dx.plos.org/10.1371/journal.pone.0232362,TRUE
Leipzig U,2020,2115.84,10.1002/ehf2.13011,In‐hospital mortality in heart failure in Germany during the Covid‐19 pandemic,"Bollmann, Andreas;Hohenstein, Sven;König, Sebastian;Meier‐Hellmann, Andreas;Kuhlen, Ralf;Hindricks, Gerhard",FALSE,Wiley-Blackwell,ESC Heart Failure,2055-5822,2055-5822,2055-5822,2055-5822,http://creativecommons.org/licenses/cc-by-nc-nd/4.0/,TRUE,32915516,PMC7754920,ut:000567952400001,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fehf2.13011,TRUE
Leipzig U,2020,2004.01,10.3389/fnagi.2020.00015,Vital Functions Contribute to the Spread of Extracellular Fluids in the Brain: Comparison Between Life and Death,"Piotrowska, Alina;Winter, Karsten;Carare, Roxana O.;Bechmann, Ingo",FALSE,Frontiers Media SA,Frontiers in Aging Neuroscience,1663-4365,,1663-4365,1663-4365,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32116648,PMC7027336,ut:000517461200001,https://www.frontiersin.org/article/10.3389/fnagi.2020.00015/full,TRUE
Leipzig U,2020,1939.58,10.3389/fpsyt.2020.00330,Changes in Social Network Size Are Associated With Cognitive Changes in the Oldest-Old,"Röhr, Susanne;Löbner, Margrit;Gühne, Uta;Heser, Kathrin;Kleineidam, Luca;Pentzek, Michael;Fuchs, Angela;Eisele, Marion;Kaduszkiewicz, Hanna;König, Hans-Helmut;Brettschneider, Christian;Wiese, Birgitt;Mamone, Silke;Weyerer, Siegfried;Werle, Jochen;Bickel, Horst;Weeg, Dagmar;Maier, Wolfgang;Scherer, Martin;Wagner, Michael;Riedel-Heller, Steffi G.",FALSE,Frontiers Media SA,Frontiers in Psychiatry,1664-0640,,1664-0640,1664-0640,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32431627,PMC7212889,ut:000536354400001,https://www.frontiersin.org/article/10.3389/fpsyt.2020.00330/full,TRUE
Leipzig U,2020,1832.18,10.3390/su12104306,Monitoring Progress of Change: Implementation of Education for Sustainable Development (ESD) within Documents of the German Education System,"Holst, Jorrit;Brock, Antje;Singer-Brodowski, Mandy;de Haan, Gerhard",FALSE,MDPI AG,Sustainability,2071-1050,,2071-1050,2071-1050,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,NA,NA,ut:000543421400364,https://www.mdpi.com/2071-1050/12/10/4306/pdf,TRUE
Leipzig U,2020,1494.64,10.1186/s13015-020-00165-2,From pairs of most similar sequences to phylogenetic best matches,"Stadler, Peter F.;Geiß, Manuela;Schaller, David;López Sánchez, Alitzel;González Laffitte, Marcos;Valdivia, Dulce I.;Hellmuth, Marc;Hernández Rosales, Maribel",FALSE,Springer Nature,Algorithms for Molecular Biology,1748-7188,,1748-7188,1748-7188,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32308731,PMC7147060,ut:000526867900001,http://link.springer.com/content/pdf/10.1186/s13015-020-00165-2.pdf,TRUE
Leipzig U,2020,1902.81,10.1186/s12885-019-6476-5,Short and long-term barriers and facilitators of skin self-examination among individuals diagnosed with melanoma,"Coroiu, Adina;Moran, Chelsea;Bergeron, Catherine;Drapeau, Martin;Wang, Beatrice;Kezouh, Abbas;Ernst, Jochen;Batist, Gerald;Körner, Annett",FALSE,Springer Nature,BMC Cancer,1471-2407,,1471-2407,1471-2407,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32059700,PMC7023754,ut:000515639600002,http://link.springer.com/content/pdf/10.1186/s12885-019-6476-5.pdf,TRUE
Leipzig U,2020,2725.1,10.1038/s41514-020-0043-9,The aging human body shape,"Frenzel, Alexander;Binder, Hans;Walter, Nadja;Wirkner, Kerstin;Loeffler, Markus;Loeffler-Wirth, Henry",FALSE,Springer Nature,npj Aging and Mechanisms of Disease,2056-3973,,2056-3973,2056-3973,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32218988,PMC7093543,ut:000521517000001,http://www.nature.com/articles/s41514-020-0043-9.pdf,TRUE
Leipzig U,2020,1941.78,10.3390/ijms21155210,Unusual Occurrence of Two Bona-Fide CCA-Adding Enzymes in Dictyostelium discoideum,"Erber, Lieselotte;Hoffmann, Anne;Fallmann, Jörg;Hagedorn, Monica;Hammann, Christian;Stadler, Peter F.;Betat, Heike;Prohaska, Sonja;Mörl, Mario",FALSE,MDPI AG,International Journal of Molecular Sciences,1422-0067,,1422-0067,1422-0067,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32717856,PMC7432833,ut:000559098800001,https://www.mdpi.com/1422-0067/21/15/5210/pdf,TRUE
Leipzig U,2020,1885.98,10.3389/fphys.2020.578868,Serotonin Alters the Phase Equilibrium of a Ternary Mixture of Phospholipids and Cholesterol,"Engberg, Oskar;Bochicchio, Anna;Brandner, Astrid F.;Gupta, Ankur;Dey, Simli;Böckmann, Rainer A.;Maiti, Sudipta;Huster, Daniel",FALSE,Frontiers Media SA,Frontiers in Physiology,1664-042X,,1664-042X,1664-042X,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33192582,PMC7645218,ut:000587032600001,https://www.frontiersin.org/articles/10.3389/fphys.2020.578868/full,TRUE
Leipzig U,2020,1502.03,10.3390/jcm9020393,Markov State Modelling of Disease Courses and Mortality Risks of Patients with Community-Acquired Pneumonia,"Przybilla, Jens;Ahnert, Peter;Bogatsch, Holger;Bloos, Frank;Brunkhorst, Frank M.;Bauer, Michael;Loeffler, Markus;Witzenrath, Martin;Suttorp, Norbert;Scholz, Markus",FALSE,MDPI AG,Journal of Clinical Medicine,2077-0383,,2077-0383,2077-0383,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32121038,PMC7074475,ut:000518823000105,https://www.mdpi.com/2077-0383/9/2/393/pdf,TRUE
Leipzig U,2020,1450.94,10.3390/medicina56100520,What Is Considered a Variation of Biomechanical Parameters in Tensile Tests of Collagen-Rich Human Soft Tissues?—Critical Considerations Using the Human Cranial Dura Mater as a Representative Morpho-Mechanic Model,"Zwirner, Johann;Scholze, Mario;Ondruschka, Benjamin;Hammer, Niels",FALSE,MDPI AG,Medicina,1648-9144,,1648-9144,1010-660X,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33027931,PMC7600870,ut:000586887900001,https://www.mdpi.com/1648-9144/56/10/520/pdf,TRUE
Leipzig U,2020,1679.54,10.1371/journal.pone.0231373,Utilization of e-mental-health and online self-management interventions of patients with mental disorders—A cross-sectional analysis,"Webelhorst, Carolin;Jepsen, Lene;Rummel-Kluge, Christine",FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,,1932-6203,1932-6203,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32310991,PMC7170258,ut:000536019800013,https://dx.plos.org/10.1371/journal.pone.0231373,TRUE
Leipzig U,2020,1450.94,10.3390/medicina56100532,Variations in Subscapularis Muscle Innervation—A Report on Case Series,"Siwetz, Martin;Hammer, Niels;Ondruschka, Benjamin;Kieser, David C.",FALSE,MDPI AG,Medicina,1648-9144,,1648-9144,1010-660X,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33053880,PMC7601857,ut:000586906300001,https://www.mdpi.com/1648-9144/56/10/532/pdf,TRUE
Leipzig U,2020,2026.84,10.3390/jcm9041067,"Linezolid Concentrations in Plasma and Subcutaneous Tissue are Reduced in Obese Patients, Resulting in a Higher Risk of Underdosing in Critically Ill Patients: A Controlled Clinical Pharmacokinetic Study","Simon, Philipp;Busse, David;Petroff, David;Dorn, Christoph;Ehmann, Lisa;Hochstädt, Sophie;Girrbach, Felix;Dietrich, Arne;Zeitlinger, Markus;Kees, Frieder;Kloft, Charlotte;Wrigge, Hermann",FALSE,MDPI AG,Journal of Clinical Medicine,2077-0383,,2077-0383,2077-0383,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32283731,PMC7230366,ut:000531821000174,https://www.mdpi.com/2077-0383/9/4/1067/pdf,TRUE
Leipzig U,2020,1951.56,10.3390/v12070777,Covid-19 Transmission Trajectories–Monitoring the Pandemic in the Worldwide Context,"Loeffler-Wirth, Henry;Schmidt, Maria;Binder, Hans",FALSE,MDPI AG,Viruses,1999-4915,,1999-4915,1999-4915,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32698418,PMC7412525,ut:000557524300001,https://www.mdpi.com/1999-4915/12/7/777/pdf,TRUE
Leipzig U,2020,1661.87,10.3390/v12020234,Field Trial Vaccination against Cowpox in Two Alpaca Herds,"Prkno, Almut;Hoffmann, Donata;Kaiser, Matthias;Goerigk, Daniela;Pfeffer, Martin;Winter, Karsten;Vahlenkamp, Thomas W.;Beer, Martin;Starke, Alexander",FALSE,MDPI AG,Viruses,1999-4915,,1999-4915,1999-4915,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32093320,PMC7077317,ut:000521256600085,https://www.mdpi.com/1999-4915/12/2/234/pdf,TRUE
Leipzig U,2020,1524.38,10.3390/catal10050506,Nanosized Cu-SSZ-13 and Its Application in NH3-SCR,"Palčić, Ana;Bruzzese, Paolo Cleto;Pyra, Kamila;Bertmer, Marko;Góra-Marek, Kinga;Poppitz, David;Pöppl, Andreas;Gläser, Roger;Jabłońska, Magdalena",FALSE,MDPI AG,Catalysts,2073-4344,,2073-4344,2073-4344,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,NA,NA,ut:000546007000009,https://www.mdpi.com/2073-4344/10/5/506/pdf,TRUE
Leipzig U,2020,1547.67,10.3390/e22121411,Consciousness Detection in a Complete Locked-in Syndrome Patient through Multiscale Approach Analysis,"Wu, Shang-Ju;Nicolaou, Nicoletta;Bogdan, Martin",FALSE,MDPI AG,Entropy,1099-4300,,1099-4300,1099-4300,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,33333814,PMC7765169,ut:000601947400001,https://www.mdpi.com/1099-4300/22/12/1411/pdf,TRUE
Leipzig U,2020,2004.02,10.3389/fcell.2020.00013,Effect of PAK Inhibition on Cell Mechanics Depends on Rac1,"Mierke, Claudia Tanja;Puder, Stefanie;Aermes, Christian;Fischer, Tony;Kunschmann, Tom",FALSE,Frontiers Media SA,Frontiers in Cell and Developmental Biology,2296-634X,,2296-634X,2296-634X,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32047750,PMC6997127,ut:000556843600001,https://www.frontiersin.org/article/10.3389/fcell.2020.00013/full,TRUE
Leipzig U,2020,1687.43,10.3390/jcm9030860,Outcomes Associated with Respiratory Failure for Patients with Cardiogenic Shock and Acute Myocardial Infarction: A Substudy of the CULPRIT-SHOCK Trial,"Rubini Giménez, Maria;Miller, P. Elliott;Alviar, Carlos L.;van Diepen, Sean;Granger, Christopher B.;Montalescot, Gilles;Windecker, Stephan;Maier, Lars;Serpytis, Pranas;Serpytis, Rokas;Oldroyd, Keith G.;Noc, Marko;Fuernau, Georg;Huber, Kurt;Sandri, Marcus;de Waha-Thiele, Suzanne;Schneider, Steffen;Ouarrak, Taoufik;Zeymer, Uwe;Desch, Steffen;Thiele, Holger",FALSE,MDPI AG,Journal of Clinical Medicine,2077-0383,,2077-0383,2077-0383,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32245139,PMC7141492,ut:000527278800249,https://www.mdpi.com/2077-0383/9/3/860/pdf,TRUE
Leipzig U,2020,1660.23,10.1371/journal.pone.0239463,"Effects of passive, active, and mixed playing strategies on external and internal loads in female tennis players","Hoppe, Matthias W.;Hotfiel, Thilo;Stückradt, Alexandra;Grim, Casper;Ueberschär, Olaf;Freiwald, Jürgen;Baumgart, Christian",FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,,1932-6203,1932-6203,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32960920,PMC7508371,ut:000575109500004,https://dx.plos.org/10.1371/journal.pone.0239463,TRUE
Leipzig U,2020,2420.48,10.1063/5.0007137,"Growth, structural and optical properties of coherent <i>κ</i>-(Al<sub><i>x</i></sub>Ga<sub>1−<i>x</i></sub>)<sub>2</sub>O<sub>3</sub>/<i>κ</i>-Ga<sub>2</sub>O<sub>3</sub> quantum well superlattice heterostructures","Kneiß, M.;Storm, P.;Hassa, A.;Splith, D.;von Wenckstern, H.;Lorenz, M.;Grundmann, M.",FALSE,AIP Publishing,APL Materials,2166-532X,,2166-532X,2166-532X,na,TRUE,NA,NA,ut:000537057100004,http://aip.scitation.org/doi/pdf/10.1063/5.0007137,TRUE
Leipzig U,2020,1920.81,10.3390/molecules25102359,Alkalinity and Its Consequences for the Performance of Steel-Reinforced Geopolymer Materials,"Koenig, Andreas;Mahmoud, Hitham;Baehre, Oliver;Dehn, Frank",FALSE,MDPI AG,Molecules,1420-3049,,1420-3049,1420-3049,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32438581,PMC7287886,ut:000539293400092,https://www.mdpi.com/1420-3049/25/10/2359/pdf,TRUE
Leipzig U,2020,1661.24,10.1186/s12868-020-00572-6,Alexithymia and automatic processing of facial emotions: behavioral and neural findings,"Rosenberg, Nicole;Ihme, Klas;Lichev, Vladimir;Sacher, Julia;Rufer, Michael;Grabe, Hans Jörgen;Kugel, Harald;Pampel, André;Lepsien, Jöran;Kersting, Anette;Villringer, Arno;Suslow, Thomas",FALSE,Springer Nature,BMC Neuroscience,1471-2202,,1471-2202,1471-2202,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32471365,PMC7257227,ut:000559986000001,https://link.springer.com/content/pdf/10.1186/s12868-020-00572-6.pdf,TRUE
Leipzig U,2020,1780.24,10.1186/s12911-020-1086-3,Surgical workflow simulation for the design and assessment of operating room setups in orthopedic surgery,"Neumann, Juliane;Angrick, Christine;Höhn, Celina;Zajonz, Dirk;Ghanem, Mohamed;Roth, Andreas;Neumuth, Thomas",FALSE,Springer Nature,BMC Medical Informatics and Decision Making,1472-6947,,1472-6947,1472-6947,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,32616031,PMC7333415,ut:000548907000003,http://link.springer.com/content/pdf/10.1186/s12911-020-1086-3.pdf,TRUE
